中国大陆,#genre#
雷神山实时画面1,http://mobilelive-play.ysp.cctv.cn:80/2001893301.m3u8
雷神山实时画面2,http://mobilelive-play.ysp.cctv.cn:80/2001893201.m3u8
雷神山实时画面3,http://mobilelive-play.ysp.cctv.cn:80/2001924601.m3u8
新华网络电视,http://livecdn1.news.cn/cnccn/manifest.m3u8
CCTV-1 综合 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-2 财经 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-3 综艺 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-4 中文国际 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-4 中文国际美洲,https://cctvcnch5ca.v.wscdns.com/live/cctvamerica_2/index.m3u8
CCTV-4 中文国际欧洲,https://cctvcnch5ca.v.wscdns.com/live/cctveurope_2/index.m3u8
CCTV-5 体育 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5+ 体育赛事 高清,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/2000204503.m3u8
CCTV-6 电影 高清,http://118.123.60.5:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=093&Provider_id=&Pcontent_id=index.m3u8
CCTV-7 国防军事 高清,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/2000510003.m3u8
CCTV-8 电视剧 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-9 纪录 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV-10 科教 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV-11 戏曲 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-12 社会与法 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV-13 新闻 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-14 少儿 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV-15 音乐 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV-17 农业农村 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV-戏曲,http://61.58.60.230:9319/live/223.m3u8
CCTV-娱乐,http://61.58.60.230:9319/live/224.m3u8
江西卫视 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000294103.m3u8
北京卫视 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8
湖南卫视 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
浙江卫视 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8
江苏卫视 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
东方卫视 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
安徽卫视 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8
广东卫视 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8
